Company Name,Site,Layer,Category
Taplio,https://taplio.com/,Application,Marketing
Labsense,https://www.lab-sense.com/,Application,Marketing
Dialog,https://dialogdesign.ca/,Application,Marketing
Flipitt,https://flippit.webflow.io/,Application,Marketing
Poolday AI,https://www.poolday.ai/,Application,Marketing
Webyn AI,https://www.webyn.ai/fr,Application,Marketing
Omi,https://omi.so/fr/,Application,Marketing
Aive,https://www.aive.com/,Application,Marketing
Neuralk AI,https://www.neuralk-ai.com/,Application,Marketing
Newtone,https://newtone.ai/,Application,Marketing
Arcads,https://www.arcads.ai/,Application,Marketing
Presti,https://presti.ai/,Application,Marketing
AdCreative AI,https://adcreative.ai/,Application,Marketing
Mark Copy AI,https://www.markcopy.ai/fr,Application,Marketing
Veeton,https://veeton.co/,Application,Marketing
WAX,https://www.getwax.io/,Application,Marketing
Kiyo,https://www.kiyofit.com/,Application,Marketing
PowerZ,https://powerz.tech/,Application,Gaming
Kinetix,https://www.kinetix.tech/,Application,Gaming
Enginn,https://www.enginn.ai/fr/,Application,Gaming
Scenario,https://www.scenario.com/,Application,Gaming
MWM,https://mwm.ai/,Application,Gaming
Phospho,https://phospho.ai/,Infrastructure,Data
Pathway,https://pathway.com/,Infrastructure,Data
FirstBatch,https://www.firstbatch.xyz/,Infrastructure,Data
Invenis,https://invenis.co/,Infrastructure,Data
Kili,https://www.kili.so/,Infrastructure,Data
Octopize,https://www.octopize.io/,Infrastructure,Data
Dataiku,https://www.dataiku.com/,Infrastructure,Data
Aria,https://www.heyaria.ai/,Infrastructure,Data
Isahit,https://fr.isahit.com/,Infrastructure,Data
Linkup,https://www.linkup.so/,Infrastructure,Data
Selas,https://www.selas.ai/,Infrastructure,Enterprise Platforms
Composable Prompts,https://composableprompts.com/,Infrastructure,Enterprise Platforms
Adaptive ML,https://www.adaptive-ml.com/,Infrastructure,Enterprise Platforms
Dust,https://dust.tt/,Infrastructure,Enterprise Platforms
Suits,https://www.suits.ai/,Infrastructure,Enterprise Platforms
Eden AI,https://www.edenai.co/,Infrastructure,Dev Tools
FlexAI,https://www.flex.ai/,Infrastructure,Dev Tools
Thinkeo,https://www.thinkeo.io/,Infrastructure,Dev Tools
.txt,https://dottxt.co/,Infrastructure,Dev Tools
Chainlit,https://chainlit.io/,Infrastructure,Dev Tools
Pruna AI,https://www.pruna.ai/,Infrastructure,Dev Tools
LaVague,https://docs.lavague.ai/en/latest/,Infrastructure,Dev Tools
Hugging Face,https://huggingface.co/,Infrastructure,Dev Tools
Gladia,https://www.gladia.io/,Infrastructure,Dev Tools
Mithril Security,https://www.mithrilsecurity.io/,Infrastructure,Safety
Giskard,https://www.giskard.ai/,Infrastructure,Safety
Prism Eval,https://www.prism-eval.ai/,Infrastructure,Safety
Mistral AI,https://mistral.ai/fr/,Foundational,
Raidium,https://raidium.eu/,Foundational,
Poolside,https://poolside.ai/,Foundational,
Raive,https://raive.com/,Foundational,
H Company,https://www.hcompany.ai/,Foundational,
Bioptimus,https://www.bioptimus.com/,Foundational,
Pleias,https://pleias.fr/,Foundational,
The Forecasting Company,https://www.theforecastingcompany.com/en/,Foundational,
